GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
prolobjectlink-jpi-projog,io.github.prolobjectlink.prolog.projog,ProjogFormatter,182,3,18,0,43,1,10,1,1,1
prolobjectlink-jpi-projog,io.github.prolobjectlink.prolog.projog,ProjogMap.PrologMapIterator,0,58,0,2,0,11,0,4,0,3
prolobjectlink-jpi-projog,io.github.prolobjectlink.prolog.projog,ProjogCut,0,12,0,0,0,3,0,2,0,2
prolobjectlink-jpi-projog,io.github.prolobjectlink.prolog.projog,ProjogEntry,22,125,12,10,8,30,10,14,0,13
prolobjectlink-jpi-projog,io.github.prolobjectlink.prolog.projog,ProjogLogger,34,88,3,5,6,20,4,4,1,3
prolobjectlink-jpi-projog,io.github.prolobjectlink.prolog.projog,ProjogStructure,28,120,0,4,5,24,4,9,4,7
prolobjectlink-jpi-projog,io.github.prolobjectlink.prolog.projog,ProjogProgram,10,0,0,0,3,0,2,0,2,0
prolobjectlink-jpi-projog,io.github.prolobjectlink.prolog.projog,ProjogTerm,12,322,7,61,4,60,6,57,0,29
prolobjectlink-jpi-projog,io.github.prolobjectlink.prolog.projog,ProjogJavaConverter,0,4,0,0,0,2,0,1,0,1
prolobjectlink-jpi-projog,io.github.prolobjectlink.prolog.projog,ProjogIndicator,0,5,0,0,0,2,0,1,0,1
prolobjectlink-jpi-projog,io.github.prolobjectlink.prolog.projog,ProjogList,31,210,4,16,0,42,4,20,0,14
prolobjectlink-jpi-projog,io.github.prolobjectlink.prolog.projog,ProjogConsole,6,6,0,0,2,2,1,1,1,1
prolobjectlink-jpi-projog,io.github.prolobjectlink.prolog.projog,ProjogList.TuPrologListIter,0,23,0,0,0,5,0,3,0,3
prolobjectlink-jpi-projog,io.github.prolobjectlink.prolog.projog,ProjogVariable,30,42,0,0,8,10,5,7,5,7
prolobjectlink-jpi-projog,io.github.prolobjectlink.prolog.projog,ProjogClauses,165,0,26,0,43,0,24,0,11,0
prolobjectlink-jpi-projog,io.github.prolobjectlink.prolog.projog,ProjogEngine,245,1102,42,108,34,208,40,76,5,36
prolobjectlink-jpi-projog,io.github.prolobjectlink.prolog.projog,ProjogOperatorSet,21,210,8,28,1,39,7,17,0,6
prolobjectlink-jpi-projog,io.github.prolobjectlink.prolog.projog,ProjogFail,0,26,0,0,0,5,0,4,0,4
prolobjectlink-jpi-projog,io.github.prolobjectlink.prolog.projog,ProjogReference,4,84,0,0,1,13,1,7,1,7
prolobjectlink-jpi-projog,io.github.prolobjectlink.prolog.projog,ProjogMap,63,306,16,20,17,76,17,33,4,28
prolobjectlink-jpi-projog,io.github.prolobjectlink.prolog.projog,ProjogScriptFactory,0,68,0,6,0,13,0,5,0,2
prolobjectlink-jpi-projog,io.github.prolobjectlink.prolog.projog,ProjogQuery,45,581,9,55,10,114,11,37,2,14
prolobjectlink-jpi-projog,io.github.prolobjectlink.prolog.projog,ProjogTrue,0,26,0,0,0,5,0,4,0,4
prolobjectlink-jpi-projog,io.github.prolobjectlink.prolog.projog,ProjogAtom,0,22,0,0,0,6,0,4,0,4
prolobjectlink-jpi-projog,io.github.prolobjectlink.prolog.projog,ProjogFloat,0,78,0,0,0,13,0,12,0,12
prolobjectlink-jpi-projog,io.github.prolobjectlink.prolog.projog,ProjogInteger,0,78,0,0,0,13,0,12,0,12
prolobjectlink-jpi-projog,io.github.prolobjectlink.prolog.projog,ProjogOperator,0,6,0,0,0,2,0,1,0,1
prolobjectlink-jpi-projog,io.github.prolobjectlink.prolog.projog,ProjogDouble,0,77,0,0,0,13,0,12,0,12
prolobjectlink-jpi-projog,io.github.prolobjectlink.prolog.projog,ProjogFalse,0,26,0,0,0,5,0,4,0,4
prolobjectlink-jpi-projog,io.github.prolobjectlink.prolog.projog,Projog,20,298,1,13,4,57,3,44,2,38
prolobjectlink-jpi-projog,io.github.prolobjectlink.prolog.projog,ProjogEmpty,0,17,0,0,0,5,0,4,0,4
prolobjectlink-jpi-projog,io.github.prolobjectlink.prolog.projog,ProjogUtil,11,22,1,1,0,3,1,1,0,1
prolobjectlink-jpi-projog,io.github.prolobjectlink.prolog.projog,ProjogClause,31,66,8,6,9,15,7,5,1,4
prolobjectlink-jpi-projog,io.github.prolobjectlink.prolog.projog,ProjogNil,0,26,0,0,0,5,0,4,0,4
prolobjectlink-jpi-projog,io.github.prolobjectlink.prolog.projog,ProjogConverter,166,413,20,53,29,81,17,37,2,8
prolobjectlink-jpi-projog,io.github.prolobjectlink.prolog.projog,ProjogLong,0,77,0,0,0,13,0,12,0,12
